ChipID,X_mm,Y_mm,Current_mA,OpticalOutput_mW,Voltage_V,Radius_mm,region
C0156,16.49,29.9,10,2.075,1.61,34.145718618883976,Mid
C0157,38.79,28.31,30,1.798,2.594,48.02208033811113,Edge
C0158,19.63,-7.85,30,3.636,2.594,21.141414333009983,Mid
C0159,-5.97,-19.85,30,2.232,2.597,20.728323617697598,Mid
C0160,-6.18,-17.32,30,2.219,2.623,18.38952962965611,Center
C0161,26.51,48.99,20,2.255,2.406,55.7027844905441,Edge
C0162,6.56,-9.08,20,1.911,2.257,11.201785571952357,Center
C0163,-41.51,25.55,50,4.872,3.626,48.743026167852975,Edge
C0164,8.27,-41.73,40,3.711,3.14,42.54157730973312,Edge
C0165,31.48,-7.04,30,2.276,2.63,32.25758825454873,Mid
C0166,-16.29,-17.11,50,4.96,3.612,23.62448306312754,Mid
C0167,42.76,-33.98,40,3.495,3.089,54.61737818680058,Edge
C0168,25.07,-47.61,30,2.224,2.631,53.80722070503177,Edge
C0169,7.41,-24.81,30,3.959,2.575,25.89293726095979,Mid
C0170,25.16,29.33,20,2.744,2.093,38.64291008710395,Mid
C0171,-42.09,-20.25,10,1.44,1.593,46.707928663129564,Edge
C0172,35.94,37.3,50,4.848,3.563,51.79742850760064,Edge
C0173,32.15,7.88,50,5.343,3.606,33.10161476423771,Mid
C0174,40.99,30.47,10,1.328,1.629,51.07446524438606,Edge
C0175,-37.14,49.94,20,2.419,2.405,62.236510184938865,Edge
C0176,-41.82,14.06,20,1.053,2.104,44.12024478626564,Edge
C0177,-36.16,-15.91,40,,3.078,39.50536292707611,Mid
C0178,-10.06,-19.0,10,1.388,1.595,21.498920903152325,Mid
C0179,-7.57,47.27,50,6.303,3.567,47.872307234976674,Edge
C0180,6.22,21.46,30,2.424,2.603,22.34323163734378,Mid
C0181,-37.78,0.25,20,1.461,2.103,37.78082714817133,Mid
C0182,-29.86,-28.59,20,0.572,2.092,41.34014634710429,Edge
C0183,31.16,-1.01,40,3.716,3.094,31.176364444880356,Mid
C0184,-3.2,26.21,40,4.447,3.119,26.404622701337736,Mid
C0185,30.79,47.47,50,4.821,3.63,56.58113643256028,Edge
C0186,-49.26,17.28,10,0.867,1.576,52.20293095219846,Edge
C0187,5.16,-47.54,10,1.13,1.632,47.81921371164523,Edge
C0188,43.19,-3.48,20,2.996,2.104,43.32997230555311,Edge
C0189,8.22,32.77,10,0.655,1.628,33.78522310123171,Mid
C0190,-29.39,1.05,20,3.058,2.106,29.40875039847834,Mid
C0191,21.78,-15.59,20,1.517,2.083,26.784631787650174,Mid
C0192,-12.1,36.11,20,2.84,2.098,38.08335725746878,Mid
C0193,16.84,7.76,40,3.334,3.102,18.541930859541033,Center
C0194,-47.07,0.44,20,2.102,2.394,47.07205646665546,Edge
C0195,13.59,-1.37,40,3.541,3.118,13.658879895511198,Center
C0196,-46.78,18.15,30,,2.604,50.17759360511423,Edge
C0197,24.48,-4.47,20,1.515,2.099,24.884760396676516,Mid
C0198,-2.71,6.71,50,4.521,3.565,7.236587593610679,Center
C0199,-37.82,-21.15,20,1.353,2.097,43.3321462657921,Edge
C0200,4.26,-32.81,20,1.901,2.099,33.08540010336886,Mid
C0201,-43.32,32.01,10,1.094,1.594,53.86336881406509,Edge
C0202,15.34,-18.08,20,2.268,2.089,23.710799227356294,Mid
C0203,49.61,-37.43,30,2.543,2.602,62.14625491532052,Edge
C0204,26.94,-31.57,40,3.023,3.144,41.50215054668854,Edge
C0205,7.38,-8.73,50,5.81,3.625,11.431417234971349,Center
C0206,-39.74,-21.46,40,4.049,3.088,45.16413621447885,Edge
C0207,19.98,19.51,10,1.127,1.608,27.925624433484025,Mid
C0208,16.12,-15.01,50,3.921,3.594,22.026223008042027,Mid
C0209,-45.09,8.59,40,4.201,3.111,45.900938988216794,Edge
C0210,29.23,-33.29,20,2.457,2.103,44.301433385388336,Edge
C0211,1.87,-36.34,50,5.185,3.639,36.38808184007506,Mid
C0212,-7.41,40.63,10,0.331,1.605,41.300181597663716,Edge
C0213,28.82,36.46,10,0.406,1.56,46.474982517479226,Edge
C0214,-8.84,39.77,40,3.792,3.1,40.7406246883869,Edge
C0215,-1.9,-0.66,30,2.967,2.578,2.0113676938839404,Center
C0216,-31.84,-42.96,30,2.116,2.599,53.47286414621906,Edge
C0217,-17.87,-18.98,50,5.7,3.608,26.068703458361714,Mid
C0218,34.55,38.14,10,0.754,1.622,51.46223955484254,Edge
C0219,-31.31,-7.75,10,1.641,1.632,32.25490040288452,Mid
C0220,-8.27,-17.31,10,0.874,1.626,19.184081943111064,Center
C0221,48.9,-20.45,40,3.981,3.089,53.00389136657798,Edge
C0222,-26.34,4.94,10,,1.584,26.799238795159837,Mid
C0223,41.68,-4.77,20,2.951,2.101,41.952059544198775,Edge
C0224,41.84,-12.51,50,5.604,3.612,43.67019235130526,Edge
C0225,-40.87,-7.7,20,1.751,2.104,41.58902379234213,Edge
C0226,-3.63,-23.33,40,,3.091,23.61071366985759,Mid
C0227,0.22,-30.82,10,1.186,1.598,30.820785194410604,Mid
C0228,-18.63,-29.82,20,2.53,2.088,35.16119025289104,Mid
C0229,-45.27,-46.17,10,1.814,1.58,64.66097586643741,Edge
C0230,-25.83,44.56,40,3.699,3.114,51.50516964344453,Edge
C0231,-40.45,45.65,50,4.926,3.606,60.99282744716792,Edge
C0232,-26.18,-39.71,10,1.246,1.616,47.56339453823707,Edge
C0233,30.78,-42.62,40,3.285,3.104,52.57254796944885,Edge
C0234,39.5,-8.37,50,4.779,3.603,40.377059080621514,Edge
C0235,-45.68,26.39,40,4.334,3.12,52.75504241302437,Edge
C0236,-19.81,32.6,10,,1.563,38.147032649997826,Mid
C0237,48.06,-47.86,30,2.172,2.583,67.82582988803013,Edge
C0238,3.95,-21.67,40,3.268,3.11,22.0270606300523,Mid
C0239,12.63,3.53,10,1.249,1.608,13.114030654226793,Center
C0240,-49.45,-36.49,40,4.139,3.092,61.45585895583919,Edge
C0241,-1.51,47.0,30,2.9,2.582,47.02425012692919,Edge
C0242,48.83,-24.87,20,1.211,2.416,54.79859304763216,Edge
C0243,-12.48,3.14,50,3.469,3.582,12.868954891520913,Center
C0244,-40.3,-39.03,50,6.277,3.613,56.10196877115811,Edge
C0245,-3.81,-16.11,50,4.55,3.565,16.55440122746818,Center
C0246,46.3,-37.69,30,3.629,2.591,59.70113985511499,Edge
C0247,-15.82,41.18,50,5.657,3.612,44.11422446331795,Edge
C0248,29.89,44.99,10,0.978,1.566,54.01400003702744,Edge
C0249,29.88,4.13,10,2.082,1.607,30.164073000839924,Mid
C0250,-29.18,-15.02,30,2.671,2.621,32.81878730239739,Mid
C0251,-5.66,-17.65,20,4.08,2.258,18.535320337129324,Center
C0252,21.56,42.37,50,5.514,3.582,47.53998843079371,Edge
C0253,-8.95,11.93,30,3.54,2.586,14.914000134102185,Center
C0254,-30.9,-9.04,50,,3.615,32.19521082397194,Mid
C0255,46.75,27.15,20,1.97,2.39,54.061862713006846,Edge
C0256,15.08,3.53,30,3.374,2.625,15.487649918564147,Center
C0257,36.55,-28.2,40,4.402,3.073,46.164298976590125,Edge
C0258,-47.48,-26.15,10,0.855,1.573,54.20491582873272,Edge
C0259,-23.31,-22.48,10,0.631,1.587,32.38373820299318,Mid
C0260,0.21,-48.4,40,4.915,3.08,48.40045557636829,Edge
C0261,-43.26,-24.42,10,1.641,1.592,49.67659408614886,Edge
C0262,49.3,11.13,30,3.238,2.6,50.540744949001294,Edge
C0263,-26.35,25.34,30,2.454,2.57,36.557326215137785,Mid
C0264,-12.57,-38.66,50,5.037,3.593,40.65218936293591,Edge
C0265,-28.6,47.22,50,5.364,3.604,55.20587287599029,Edge
C0266,-39.46,-1.13,10,2.419,1.586,39.47617635992625,Mid
C0267,-26.75,-43.78,10,0.935,1.596,51.305466570337316,Edge
C0268,-19.94,44.0,10,0.839,1.608,48.3073865987387,Edge
C0269,13.44,-22.83,30,4.165,2.606,26.492310205038745,Mid
C0270,-21.88,-19.03,20,0.858,2.094,28.997849920295813,Mid
C0271,-13.77,-4.07,40,3.157,3.121,14.358892714969354,Center
C0272,-49.41,-17.56,30,4.12,2.607,52.43759815247071,Edge
C0273,-13.43,-32.23,20,1.588,2.097,34.916153854627225,Mid
C0274,3.39,-37.29,20,1.741,2.087,37.44377384826481,Mid
C0275,-33.8,0.97,10,1.511,1.611,33.81391577442636,Mid
C0276,9.74,-42.95,50,4.142,3.621,44.040550632343376,Edge
C0277,-20.68,20.98,20,1.942,2.103,29.45883229186113,Mid
C0278,13.21,-15.81,50,4.104,3.606,20.60243189528848,Mid
C0279,-47.38,49.26,10,1.952,1.601,68.34772856503719,Edge
C0280,38.76,-43.71,10,1.25,1.58,58.42004536116007,Edge
C0281,-48.39,-45.14,30,2.545,2.561,66.17561257744427,Edge
C0282,-37.3,-24.82,50,4.73,3.638,44.8031516748543,Edge
C0283,27.72,-14.84,50,4.838,3.637,31.442391766530736,Mid
C0284,-45.41,31.32,50,4.29,3.63,55.163488830928735,Edge
C0285,21.1,32.97,10,0.17,1.608,39.1437210801426,Mid
C0286,47.1,22.36,40,4.802,3.122,52.13808205141421,Edge
C0287,37.17,32.57,10,0.317,1.616,49.420783077567684,Edge
C0288,21.02,22.83,20,1.419,2.09,31.033035623348223,Mid
C0289,45.85,37.3,30,3.308,2.585,59.105943017601874,Edge
C0290,-7.02,-3.55,10,2.145,1.595,7.866568502212384,Center
C0291,37.29,-22.36,10,-0.08,1.603,43.480037948465494,Edge
C0292,-14.4,12.95,10,1.105,1.564,19.366530406864314,Center
C0293,42.98,-13.54,20,1.511,2.394,45.06231241292439,Edge
C0294,-35.12,-43.24,30,4.002,2.601,55.705583203122465,Edge
C0295,44.0,35.58,30,1.527,2.568,56.58565542608833,Edge
C0296,33.27,33.41,30,2.421,2.608,47.14998409331651,Edge
C0297,34.61,-0.37,40,5.439,3.102,34.611977695589715,Mid
C0298,-37.61,-3.4,10,0.656,1.633,37.76336981785391,Mid
C0299,9.65,-38.11,10,-0.041,1.586,39.312779092808995,Mid
C0300,-48.36,-37.41,20,2.634,2.391,61.14080225185142,Edge
C0301,22.12,29.78,30,3.423,2.583,37.09639874704821,Mid
C0302,-49.23,35.4,50,4.783,3.608,60.6362342168443,Edge
C0303,-41.52,-49.43,40,4.303,3.103,64.55412690138408,Edge
C0304,-27.45,28.39,10,0.682,1.586,39.49043681703204,Mid
C0305,37.51,3.6,40,4.662,3.108,37.68235794108431,Mid
C0306,-13.64,-6.26,40,5.346,3.093,15.007904583918437,Center
C0307,4.0,-2.45,50,5.276,3.563,4.690682253148256,Center
C0308,6.81,21.3,20,1.757,2.08,22.362157767085,Mid
C0309,-27.45,-49.76,30,1.655,2.64,56.82921871713529,Edge
C0310,7.21,-43.73,10,0.852,1.611,44.32039034124135,Edge
C0311,16.1,34.13,40,4.834,3.094,37.736810941042705,Mid
C0312,-20.18,49.77,50,,3.584,53.70554254450838,Edge
C0313,-8.14,-25.84,10,1.778,1.599,27.091792114956146,Mid
C0314,-4.69,-9.99,20,1.766,2.244,11.03613156862494,Center
C0315,43.24,20.19,30,2.648,2.611,47.72141762353671,Edge
C0316,8.75,16.48,10,1.472,1.597,18.658855806292088,Center
C0317,44.83,28.37,30,4.174,2.621,53.05267005533275,Edge
C0318,5.6,41.41,10,0.236,1.578,41.78693695402906,Edge
C0319,0.06,-23.59,30,2.997,2.583,23.590076303395037,Mid
C0320,-49.65,2.71,10,,1.606,49.72390370837752,Edge
C0321,-1.91,-35.95,50,5.373,3.569,36.00070277091824,Mid
C0322,42.75,47.03,10,1.99,1.572,63.556143684147486,Edge
C0323,-30.16,25.74,50,6.04,3.618,39.650639339107755,Mid
C0324,-44.79,-31.26,20,2.493,2.395,54.61988374209524,Edge
C0325,-9.32,23.99,10,0.375,1.592,25.73679272947583,Mid
C0326,-12.76,29.88,30,4.024,2.587,32.490490916574345,Mid
C0327,35.72,-36.36,40,2.707,3.081,50.97026584195927,Edge
C0328,-47.34,-0.08,20,1.615,2.391,47.34006759606497,Edge
C0329,42.01,32.27,40,3.491,3.067,52.97351224904764,Edge
C0330,18.09,-15.28,40,4.735,3.086,23.679664271268713,Mid
C0331,40.42,-44.95,20,1.406,2.397,60.45063192390961,Edge
C0332,10.75,-15.59,50,5.253,3.603,18.937016660498557,Center
C0333,31.2,28.2,10,1.349,1.584,42.055677381300136,Edge
C0334,-16.45,-39.96,40,3.669,3.089,43.21347127922033,Edge
C0335,-15.04,-18.98,20,3.656,2.093,24.21656457881671,Mid
C0336,-11.01,35.36,10,0.468,1.599,37.03443937742274,Mid
C0337,25.48,-33.81,30,,2.601,42.33611342577398,Edge
C0338,-13.07,-11.13,50,4.599,3.548,17.166880904812036,Center
C0339,-25.78,5.42,20,2.186,2.09,26.343591251004487,Mid
C0340,43.77,-32.21,40,3.381,3.104,54.34424532551722,Edge
C0341,40.8,20.07,10,0.932,1.602,45.46916427646323,Edge
C0342,-15.12,28.13,30,1.846,2.624,31.936050162786255,Mid
C0343,13.46,13.46,20,1.775,2.25,19.03531454954186,Center
C0344,-22.62,36.18,50,4.902,3.582,42.66915513576523,Edge
C0345,-29.39,-36.93,20,2.236,2.398,47.19742577726036,Edge
C0346,-16.37,-49.67,50,5.279,3.591,52.298047764711065,Edge
C0347,-17.29,-23.31,10,,1.587,29.02240858371338,Mid
C0348,38.23,34.0,30,3.64,2.584,51.16183049891784,Edge
C0349,32.23,-37.3,50,5.101,3.581,49.2956681666858,Edge
C0350,20.96,26.38,40,4.709,3.104,33.69311502369586,Mid
C0351,45.93,42.93,20,2.984,2.408,62.86930729696328,Edge
C0352,-7.75,6.08,10,1.564,1.591,9.850324867739134,Center
C0353,-25.5,38.3,10,1.131,1.607,46.01238963583613,Edge
C0354,-38.26,-25.19,50,3.497,3.606,45.80789997369449,Edge
C0355,-19.89,22.28,40,3.966,3.101,29.866544828620537,Mid
C0356,-35.47,28.01,10,,1.616,45.196028586591545,Edge
C0357,-40.78,-1.25,10,0.908,1.62,40.79915317748642,Edge
C0358,10.29,10.28,50,5.975,3.626,14.545188207788856,Center
C0359,-13.58,-41.11,50,4.09,3.617,43.294901547410866,Edge
C0360,6.46,-22.37,50,4.96,3.636,23.284082545807983,Mid
C0361,-30.87,-42.32,20,1.716,2.415,52.382624027438716,Edge
C0362,17.69,-26.06,30,3.17,2.595,31.496979220236344,Mid
C0363,-28.45,39.26,50,4.898,3.587,48.48453464765852,Edge
C0364,-22.2,-46.92,50,6.08,3.583,51.90690127526397,Edge
C0365,24.18,-0.32,50,4.02,3.608,24.182117359735066,Mid
C0366,5.97,2.27,20,2.517,2.237,6.387002426803985,Center
C0367,-16.52,-21.42,20,1.929,2.12,27.050449164477843,Mid
C0368,4.3,28.16,40,4.336,3.078,28.486410795324847,Mid
C0369,19.4,8.95,10,0.849,1.559,21.364983032991155,Mid
C0370,41.21,-30.48,30,4.012,2.628,51.257140965918104,Edge
C0371,8.07,-2.88,40,4.191,3.117,8.568506287562611,Center
C0372,-26.73,-47.66,10,0.914,1.592,54.6440161408365,Edge
C0373,24.67,-48.21,40,5.104,3.089,54.15545217242674,Edge
C0374,27.78,23.49,20,1.599,2.113,36.380056349599016,Mid
C0375,-29.96,-32.77,50,4.575,3.616,44.4012893956921,Edge
C0376,32.06,46.85,40,4.055,3.147,56.769411658039935,Edge
C0377,-3.51,-14.18,30,3.675,2.599,14.607960158762756,Center
C0378,27.98,19.87,30,3.539,2.572,34.31759461267645,Mid
C0379,-26.25,-3.75,10,0.717,1.586,26.516504294495533,Mid
C0380,-16.74,-9.05,30,2.32,2.574,19.029716235404038,Center
C0381,45.37,16.79,20,2.31,2.399,48.3770710150997,Edge
C0382,15.78,12.61,30,3.475,2.575,20.199517320965864,Mid
C0383,27.29,37.69,40,4.077,3.105,46.532571388222244,Edge
C0384,18.84,-41.56,30,3.222,2.624,45.63090181006727,Edge
C0385,-29.57,0.66,40,4.181,3.091,29.577364656101462,Mid
C0386,-2.93,10.77,40,4.875,3.086,11.161442559096024,Center
C0387,30.9,14.99,50,4.139,3.612,34.34399656417406,Mid
C0388,17.5,12.55,20,2.455,2.102,21.53491351271233,Mid
C0389,-49.4,-13.22,10,2.031,1.577,51.138326136079186,Edge
C0390,-41.26,-46.89,40,4.856,3.091,62.45846379795135,Edge
C0391,-15.32,21.35,50,4.777,3.602,26.277840474437774,Mid
C0392,44.44,-45.62,30,3.203,2.608,63.68750269872418,Edge
C0393,-0.88,-2.93,30,2.227,2.615,3.0592973049378513,Center
C0394,-22.98,21.91,10,,1.613,31.751039353066854,Mid
C0395,-13.96,-22.65,20,0.937,2.1,26.60646725892034,Mid
C0396,-28.93,-47.22,20,3.294,2.416,55.377552311383354,Edge
C0397,-7.88,-40.73,40,,3.116,41.485266059168524,Edge
C0398,-28.2,-36.09,40,3.639,3.129,45.80096178029453,Edge
C0399,34.58,16.51,20,1.583,2.104,38.31914012605189,Mid
